광역,시군구,읍면동,투표소,후보자당,ID,선거구,선거인수,투표수,유효투표수,무효표,기권수,후보자,후보자득표,득표율,총득표,순위,차순위득표차,권역,선거인수.비례,유효투표수.비례,비례득표,교차투표,지역구
부산광역시,북구,거소·선상투표,거소·선상투표,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,324,311,297,14,13,전재수,118,0.3973063973063973,48887,1,-61.0,영남,324.0,289.0,68.0,50.0,북구강서구갑(부산광역시)
부산광역시,북구,거소·선상투표,거소·선상투표,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,324,311,297,14,13,박민식,179,0.6026936026936027,38527,2,,영남,324.0,289.0,139.0,40.0,북구강서구갑(부산광역시)
부산광역시,북구,관외사전투표,관외사전투표,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,5295,5291,5205,86,4,전재수,3216,0.6178674351585014,48887,1,1227.0,영남,5295.0,5158.0,2012.0,1204.0,북구강서구갑(부산광역시)
부산광역시,북구,관외사전투표,관외사전투표,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,5295,5291,5205,86,4,박민식,1989,0.3821325648414985,38527,2,,영남,5295.0,5158.0,1599.0,390.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제1동,관내사전투표,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,1234,1234,1224,10,0,전재수,704,0.5751633986928104,48887,1,184.0,영남,1234.0,1203.0,365.0,339.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제1동,관내사전투표,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,1234,1234,1224,10,0,박민식,520,0.4248366013071895,38527,2,,영남,1234.0,1203.0,517.0,3.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제1동,구포제1동제1투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,3970,2134,2109,25,1836,전재수,1200,0.5689900426742532,48887,1,291.0,영남,3972.0,2051.0,668.0,532.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제1동,구포제1동제1투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,3970,2134,2109,25,1836,박민식,909,0.4310099573257468,38527,2,,영남,3972.0,2051.0,833.0,76.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제1동,구포제1동제2투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,2736,1382,1361,21,1354,전재수,699,0.5135929463629684,48887,1,37.0,영남,2736.0,1322.0,375.0,324.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제1동,구포제1동제2투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,2736,1382,1361,21,1354,박민식,662,0.4864070536370315,38527,2,,영남,2736.0,1322.0,638.0,24.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제1동,구포제1동제3투,더불어민주당,부산광역시-북구강서구갑_전재수,북구강서구갑,2758,1492,1473,19,1266,전재수,772,0.5241004752206382,48887,1,71.0,영남,2758.0,1418.0,428.0,344.0,북구강서구갑(부산광역시)
부산광역시,북구,구포제1동,구포제1동제3투,새누리당,부산광역시-북구강서구갑_박민식,북구강서구갑,2758,1492,1473,19,1266,박민식,701,0.4758995247793618,38527,2,,영남,2758.0,1418.0,665.0,36.0,북구강서구갑(부산광역시)
