광역,시군구,읍면동,투표소,선거인수,투표인수,기권수,무효표,계,더불어민주당,자유한국당,국민의당,바른정당,정의당,새누리당,경제애국당,국민대통합당,늘푸른한국당,민중연합당,한국국민당,혹익당,무소속
부산광역시,북구,거소·선상투표,거소·선상투표,711,650,61,27,623,242,122,175,44,24,6,1,2,1,1,0,3,2
부산광역시,북구,관외사전투표,관외사전투표,20156,20146,10,169,19977,9622,3975,3215,1798,1272,13,3,7,8,14,7,7,36
부산광역시,북구,재외투표,재외투표,1251,941,310,4,937,573,71,139,46,105,2,0,1,0,0,0,0,0
부산광역시,북구,구포제1동,소계,13239,9349,3890,53,9296,3417,3388,1450,572,418,7,1,6,1,9,3,4,20
부산광역시,북구,구포제2동,소계,21729,15711,6018,84,15627,6161,5202,2442,1022,731,11,4,11,3,3,4,10,23
부산광역시,북구,구포제3동,소계,18432,12680,5752,47,12633,4884,4177,2032,803,681,15,2,7,4,5,0,6,17
부산광역시,북구,덕천제1동,소계,12997,9466,3531,54,9412,3362,3447,1535,563,457,8,1,5,4,7,1,8,14
부산광역시,북구,덕천제2동,소계,11240,8080,3160,26,8054,3095,2755,1205,530,436,6,1,6,2,5,3,4,6
부산광역시,북구,덕천제3동,소계,10097,7134,2963,38,7096,2532,2497,1235,446,344,8,0,11,1,4,1,5,12
부산광역시,북구,만덕제1동,소계,7993,6211,1782,27,6184,2327,2259,935,411,227,5,0,3,0,3,4,4,6
부산광역시,북구,만덕제2동,소계,22838,17742,5096,60,17682,7314,5382,2831,1242,857,21,3,11,0,3,1,3,14
부산광역시,북구,만덕제3동,소계,16189,12876,3313,38,12838,5070,4169,2083,934,555,12,0,4,1,2,1,1,6
부산광역시,북구,금곡동,소계,32894,25662,7232,114,25548,10220,8110,4227,1757,1084,35,4,23,8,11,9,18,42
부산광역시,북구,화명제1동,소계,31764,26361,5403,60,26301,11547,7135,4287,2065,1193,25,2,8,5,6,3,10,15
부산광역시,북구,화명제2동,소계,14003,10927,3076,41,10886,4421,3346,1652,822,579,20,1,12,5,11,0,7,10
부산광역시,북구,화명제3동,소계,23160,19751,3409,51,19700,8824,5139,3268,1512,899,19,1,7,5,9,2,5,10
