poll_date,fieldwork_start,fieldwork_end,pollster,pollster_lean,sample_size,response_rate_pct,election,candidate,party,support_pct,notes
2026-04-27,2026-04-24,2026-04-25,뉴스토마토-미디어토마토,left,802,9.0,2026_buksu_gap_byelection,하정우,더불어민주당,35.5,early poll
2026-04-27,2026-04-24,2026-04-25,뉴스토마토-미디어토마토,left,802,9.0,2026_buksu_gap_byelection,한동훈,무소속,28.5,early poll
2026-04-27,2026-04-24,2026-04-25,뉴스토마토-미디어토마토,left,802,9.0,2026_buksu_gap_byelection,박민식,국민의힘,26.0,early poll
2026-05-05,2026-05-01,2026-05-03,부산MBC-한길리서치(1차),centerleft,584,5.3,2026_buksu_gap_byelection,하정우,더불어민주당,34.3,3-way race
2026-05-05,2026-05-01,2026-05-03,부산MBC-한길리서치(1차),centerleft,584,5.3,2026_buksu_gap_byelection,한동훈,무소속,33.5,3-way race
2026-05-05,2026-05-01,2026-05-03,부산MBC-한길리서치(1차),centerleft,584,5.3,2026_buksu_gap_byelection,박민식,국민의힘,21.5,3-way race
2026-05-05,2026-05-01,2026-05-03,부산MBC-한길리서치(1차),centerleft,584,5.3,2026_buksu_gap_byelection_2way_A,한동훈,무소속,38.2,head-to-head 한동훈 vs 하정우
2026-05-05,2026-05-01,2026-05-03,부산MBC-한길리서치(1차),centerleft,584,5.3,2026_buksu_gap_byelection_2way_A,하정우,더불어민주당,37.4,head-to-head 한동훈 vs 하정우
2026-05-05,2026-05-01,2026-05-03,부산MBC-한길리서치(1차),centerleft,584,5.3,2026_buksu_gap_byelection_2way_B,박민식,국민의힘,33.1,head-to-head 박민식 vs 하정우
2026-05-05,2026-05-01,2026-05-03,부산MBC-한길리서치(1차),centerleft,584,5.3,2026_buksu_gap_byelection_2way_B,하정우,더불어민주당,39.7,head-to-head 박민식 vs 하정우
2026-05-05,2026-05-01,2026-05-03,SBS-입소스,center,503,14.4,2026_buksu_gap_byelection,하정우,더불어민주당,38.0,3-way race
2026-05-05,2026-05-01,2026-05-03,SBS-입소스,center,503,14.4,2026_buksu_gap_byelection,박민식,국민의힘,26.0,3-way race
2026-05-05,2026-05-01,2026-05-03,SBS-입소스,center,503,14.4,2026_buksu_gap_byelection,한동훈,무소속,21.0,3-way race
2026-05-07,2026-05-04,2026-05-05,JTBC-메타보이스,centerleft,501,15.1,2026_buksu_gap_byelection,하정우,더불어민주당,37.0,3-way race
2026-05-07,2026-05-04,2026-05-05,JTBC-메타보이스,centerleft,501,15.1,2026_buksu_gap_byelection,박민식,국민의힘,26.0,3-way race
2026-05-07,2026-05-04,2026-05-05,JTBC-메타보이스,centerleft,501,15.1,2026_buksu_gap_byelection,한동훈,무소속,25.0,3-way race
2026-05-11,2026-05-08,2026-05-10,KBS부산-한국리서치,centerleft,500,22.7,2026_buksu_gap_byelection,하정우,더불어민주당,37.0,3-way race
2026-05-11,2026-05-08,2026-05-10,KBS부산-한국리서치,centerleft,500,22.7,2026_buksu_gap_byelection,한동훈,무소속,30.0,3-way race
2026-05-11,2026-05-08,2026-05-10,KBS부산-한국리서치,centerleft,500,22.7,2026_buksu_gap_byelection,박민식,국민의힘,17.0,3-way race
2026-05-12,2026-05-09,2026-05-10,국제신문-리얼미터,center,506,8.7,2026_buksu_gap_byelection,하정우,더불어민주당,43.4,3-way race
2026-05-12,2026-05-09,2026-05-10,국제신문-리얼미터,center,506,8.7,2026_buksu_gap_byelection,한동훈,무소속,28.1,3-way race
2026-05-12,2026-05-09,2026-05-10,국제신문-리얼미터,center,506,8.7,2026_buksu_gap_byelection,박민식,국민의힘,23.1,3-way race
2026-05-12,2026-05-09,2026-05-10,국제신문-리얼미터,center,506,8.7,2026_buksu_gap_byelection_2way_A,하정우,더불어민주당,45.8,head-to-head 한동훈 vs 하정우
2026-05-12,2026-05-09,2026-05-10,국제신문-리얼미터,center,506,8.7,2026_buksu_gap_byelection_2way_A,한동훈,무소속,35.8,head-to-head 한동훈 vs 하정우
2026-05-14,2026-05-12,2026-05-13,뉴스1-한국갤럽,center,508,11.3,2026_buksu_gap_byelection,하정우,더불어민주당,39.0,3-way race
2026-05-14,2026-05-12,2026-05-13,뉴스1-한국갤럽,center,508,11.3,2026_buksu_gap_byelection,한동훈,무소속,29.0,3-way race
2026-05-14,2026-05-12,2026-05-13,뉴스1-한국갤럽,center,508,11.3,2026_buksu_gap_byelection,박민식,국민의힘,21.0,3-way race
2026-05-14,2026-05-11,2026-05-12,부산MBC-한길리서치(2차),centerleft,501,9.6,2026_buksu_gap_byelection,하정우,더불어민주당,35.5,3-way race
2026-05-14,2026-05-11,2026-05-12,부산MBC-한길리서치(2차),centerleft,501,9.6,2026_buksu_gap_byelection,한동훈,무소속,32.6,3-way race
2026-05-14,2026-05-11,2026-05-12,부산MBC-한길리서치(2차),centerleft,501,9.6,2026_buksu_gap_byelection,박민식,국민의힘,25.5,3-way race
2026-05-14,2026-05-11,2026-05-12,부산MBC-한길리서치(2차),centerleft,501,9.6,2026_buksu_gap_byelection_2way_A,하정우,더불어민주당,39.7,head-to-head 한동훈 vs 하정우
2026-05-14,2026-05-11,2026-05-12,부산MBC-한길리서치(2차),centerleft,501,9.6,2026_buksu_gap_byelection_2way_A,한동훈,무소속,37.6,head-to-head 한동훈 vs 하정우
2026-05-14,2026-05-11,2026-05-12,부산MBC-한길리서치(2차),centerleft,501,9.6,2026_buksu_gap_byelection_2way_B,하정우,더불어민주당,39.0,head-to-head 박민식 vs 하정우
2026-05-14,2026-05-11,2026-05-12,부산MBC-한길리서치(2차),centerleft,501,9.6,2026_buksu_gap_byelection_2way_B,박민식,국민의힘,32.8,head-to-head 박민식 vs 하정우
2026-05-18,2026-05-14,2026-05-15,여론조사꽃,left,502,9.2,2026_buksu_gap_byelection,하정우,더불어민주당,41.7,3-way race
2026-05-18,2026-05-14,2026-05-15,여론조사꽃,left,502,9.2,2026_buksu_gap_byelection,한동훈,무소속,32.2,3-way race
2026-05-18,2026-05-14,2026-05-15,여론조사꽃,left,502,9.2,2026_buksu_gap_byelection,박민식,국민의힘,21.1,3-way race
2026-05-18,2026-05-14,2026-05-15,여론조사꽃,left,502,9.2,2026_buksu_gap_byelection_2way_A,하정우,더불어민주당,42.9,head-to-head 한동훈 vs 하정우
2026-05-18,2026-05-14,2026-05-15,여론조사꽃,left,502,9.2,2026_buksu_gap_byelection_2way_A,한동훈,무소속,38.1,head-to-head 한동훈 vs 하정우
2026-05-18,2026-05-14,2026-05-15,여론조사꽃,left,502,9.2,2026_buksu_gap_byelection_2way_B,하정우,더불어민주당,44.6,head-to-head 박민식 vs 하정우
2026-05-18,2026-05-14,2026-05-15,여론조사꽃,left,502,9.2,2026_buksu_gap_byelection_2way_B,박민식,국민의힘,26.3,head-to-head 박민식 vs 하정우
2026-05-19,2026-05-16,2026-05-17,조선일보-메트릭스,right,501,16.5,2026_buksu_gap_byelection,하정우,더불어민주당,39.0,3-way race
2026-05-19,2026-05-16,2026-05-17,조선일보-메트릭스,right,501,16.5,2026_buksu_gap_byelection,한동훈,무소속,33.0,3-way race
2026-05-19,2026-05-16,2026-05-17,조선일보-메트릭스,right,501,16.5,2026_buksu_gap_byelection,박민식,국민의힘,20.0,3-way race
2026-05-19,2026-05-16,2026-05-17,조선일보-메트릭스,right,501,16.5,2026_buksu_gap_byelection_2way_A,하정우,더불어민주당,41.0,head-to-head 한동훈 vs 하정우
2026-05-19,2026-05-16,2026-05-17,조선일보-메트릭스,right,501,16.5,2026_buksu_gap_byelection_2way_A,한동훈,무소속,39.0,head-to-head 한동훈 vs 하정우
2026-05-19,2026-05-16,2026-05-17,조선일보-메트릭스,right,501,16.5,2026_buksu_gap_byelection_2way_B,하정우,더불어민주당,44.0,head-to-head 박민식 vs 하정우
2026-05-19,2026-05-16,2026-05-17,조선일보-메트릭스,right,501,16.5,2026_buksu_gap_byelection_2way_B,박민식,국민의힘,30.0,head-to-head 박민식 vs 하정우
2026-05-19,2026-05-16,2026-05-18,MBC-코리아리서치,centerleft,500,14.5,2026_buksu_gap_byelection,하정우,더불어민주당,38.0,3-way race
2026-05-19,2026-05-16,2026-05-18,MBC-코리아리서치,centerleft,500,14.5,2026_buksu_gap_byelection,한동훈,무소속,33.0,3-way race
2026-05-19,2026-05-16,2026-05-18,MBC-코리아리서치,centerleft,500,14.5,2026_buksu_gap_byelection,박민식,국민의힘,20.0,3-way race
2026-05-19,2026-05-17,2026-05-18,뉴시스-에이스리서치,center,504,9.0,2026_buksu_gap_byelection,하정우,더불어민주당,40.4,3-way race
2026-05-19,2026-05-17,2026-05-18,뉴시스-에이스리서치,center,504,9.0,2026_buksu_gap_byelection,한동훈,무소속,32.7,3-way race
2026-05-19,2026-05-17,2026-05-18,뉴시스-에이스리서치,center,504,9.0,2026_buksu_gap_byelection,박민식,국민의힘,20.9,3-way race
2026-05-19,2026-05-17,2026-05-18,뉴시스-에이스리서치,center,504,9.0,2026_buksu_gap_byelection_2way_A,하정우,더불어민주당,41.8,head-to-head 한동훈 vs 하정우
2026-05-19,2026-05-17,2026-05-18,뉴시스-에이스리서치,center,504,9.0,2026_buksu_gap_byelection_2way_A,한동훈,무소속,40.0,head-to-head 한동훈 vs 하정우
2026-05-19,2026-05-17,2026-05-18,뉴시스-에이스리서치,center,504,9.0,2026_buksu_gap_byelection_2way_B,하정우,더불어민주당,47.2,head-to-head 박민식 vs 하정우
2026-05-19,2026-05-17,2026-05-18,뉴시스-에이스리서치,center,504,9.0,2026_buksu_gap_byelection_2way_B,박민식,국민의힘,29.6,head-to-head 박민식 vs 하정우
2026-05-20,2026-05-17,2026-05-19,채널A-리서치앤리서치,right,500,10.0,2026_buksu_gap_byelection,한동훈,무소속,34.6,3-way race - 유일한 한동훈 1위
2026-05-20,2026-05-17,2026-05-19,채널A-리서치앤리서치,right,500,10.0,2026_buksu_gap_byelection,하정우,더불어민주당,32.9,3-way race - 유일한 한동훈 1위
2026-05-20,2026-05-17,2026-05-19,채널A-리서치앤리서치,right,500,10.0,2026_buksu_gap_byelection,박민식,국민의힘,20.5,3-way race - 유일한 한동훈 1위
2026-05-20,2026-05-17,2026-05-19,중앙일보-케이스탯리서치,center,500,12.5,2026_buksu_gap_byelection,하정우,더불어민주당,35.0,3-way race
2026-05-20,2026-05-17,2026-05-19,중앙일보-케이스탯리서치,center,500,12.5,2026_buksu_gap_byelection,한동훈,무소속,31.0,3-way race
2026-05-20,2026-05-17,2026-05-19,중앙일보-케이스탯리서치,center,500,12.5,2026_buksu_gap_byelection,박민식,국민의힘,20.0,3-way race
2026-05-20,2026-05-17,2026-05-19,중앙일보-케이스탯리서치,center,500,12.5,2026_buksu_gap_byelection_2way_A,하정우,더불어민주당,41.0,head-to-head 한동훈 vs 하정우
2026-05-20,2026-05-17,2026-05-19,중앙일보-케이스탯리서치,center,500,12.5,2026_buksu_gap_byelection_2way_A,한동훈,무소속,32.0,head-to-head 한동훈 vs 하정우
2026-05-20,2026-05-17,2026-05-19,중앙일보-케이스탯리서치,center,500,12.5,2026_buksu_gap_byelection_2way_B,하정우,더불어민주당,38.0,head-to-head 박민식 vs 하정우
2026-05-20,2026-05-17,2026-05-19,중앙일보-케이스탯리서치,center,500,12.5,2026_buksu_gap_byelection_2way_B,박민식,국민의힘,38.0,head-to-head 박민식 vs 하정우
2026-05-20,2026-05-18,2026-05-19,펜앤마이크-여론조사공정,right,500,4.0,2026_buksu_gap_byelection,하정우,더불어민주당,35.7,3-way race (ARS)
2026-05-20,2026-05-18,2026-05-19,펜앤마이크-여론조사공정,right,500,4.0,2026_buksu_gap_byelection,한동훈,무소속,33.0,3-way race (ARS)
2026-05-20,2026-05-18,2026-05-19,펜앤마이크-여론조사공정,right,500,4.0,2026_buksu_gap_byelection,박민식,국민의힘,24.8,3-way race (ARS)
2026-05-20,2026-05-18,2026-05-19,펜앤마이크-여론조사공정,right,500,4.0,2026_buksu_gap_byelection_2way_A,하정우,더불어민주당,39.5,head-to-head 한동훈 vs 하정우
2026-05-20,2026-05-18,2026-05-19,펜앤마이크-여론조사공정,right,500,4.0,2026_buksu_gap_byelection_2way_A,한동훈,무소속,40.8,head-to-head 한동훈 vs 하정우
2026-05-20,2026-05-18,2026-05-19,펜앤마이크-여론조사공정,right,500,4.0,2026_buksu_gap_byelection_2way_B,하정우,더불어민주당,42.2,head-to-head 박민식 vs 하정우
2026-05-20,2026-05-18,2026-05-19,펜앤마이크-여론조사공정,right,500,4.0,2026_buksu_gap_byelection_2way_B,박민식,국민의힘,32.7,head-to-head 박민식 vs 하정우
2026-05-24,2026-05-21,2026-05-22,세계일보-한국갤럽,center,502,(unknown),2026_buksu_gap_byelection,하정우,더불어민주당,35.0,3-way race
2026-05-24,2026-05-21,2026-05-22,세계일보-한국갤럽,center,502,(unknown),2026_buksu_gap_byelection,한동훈,무소속,36.0,3-way race
2026-05-24,2026-05-21,2026-05-22,세계일보-한국갤럽,center,502,(unknown),2026_buksu_gap_byelection,박민식,국민의힘,19.0,3-way race
2026-05-24,2026-05-21,2026-05-22,세계일보-한국갤럽,center,502,(unknown),2026_buksu_gap_byelection_2way_A,하정우,더불어민주당,41.0,head-to-head 한동훈 vs 하정우
2026-05-24,2026-05-21,2026-05-22,세계일보-한국갤럽,center,502,(unknown),2026_buksu_gap_byelection_2way_A,한동훈,무소속,45.0,head-to-head 한동훈 vs 하정우
2026-05-24,2026-05-21,2026-05-22,세계일보-한국갤럽,center,502,(unknown),2026_buksu_gap_byelection_2way_B,하정우,더불어민주당,48.0,head-to-head 박민식 vs 하정우
2026-05-24,2026-05-21,2026-05-22,세계일보-한국갤럽,center,502,(unknown),2026_buksu_gap_byelection_2way_B,박민식,국민의힘,36.0,head-to-head 박민식 vs 하정우
2026-05-24,2026-05-23,2026-05-23,올리서치-비전코리아,center,533,11.8,2026_buksu_gap_byelection,하정우,더불어민주당,34.5,3-way race (ARS 무선 100%)
2026-05-24,2026-05-23,2026-05-23,올리서치-비전코리아,center,533,11.8,2026_buksu_gap_byelection,한동훈,무소속,41.5,3-way race (ARS 무선 100%)
2026-05-24,2026-05-23,2026-05-23,올리서치-비전코리아,center,533,11.8,2026_buksu_gap_byelection,박민식,국민의힘,18.9,3-way race (ARS 무선 100%)
2026-05-25,2026-05-21,2026-05-22,여론조사꽃-여론조사꽃,left,500,9.0,2026_buksu_gap_byelection,하정우,더불어민주당,36.9,3-way race (ARS)
2026-05-25,2026-05-21,2026-05-22,여론조사꽃-여론조사꽃,left,500,9.0,2026_buksu_gap_byelection,한동훈,무소속,36.3,3-way race (ARS)
2026-05-25,2026-05-21,2026-05-22,여론조사꽃-여론조사꽃,left,500,9.0,2026_buksu_gap_byelection,박민식,국민의힘,20.4,3-way race (ARS)
2026-05-25,2026-05-23,2026-05-24,부산일보-에이스리서치,center,502,10.9,2026_buksu_gap_byelection,하정우,더불어민주당,34.0,3-way race (ARS)
2026-05-25,2026-05-23,2026-05-24,부산일보-에이스리서치,center,502,10.9,2026_buksu_gap_byelection,한동훈,무소속,38.2,3-way race (ARS)
2026-05-25,2026-05-23,2026-05-24,부산일보-에이스리서치,center,502,10.9,2026_buksu_gap_byelection,박민식,국민의힘,23.3,3-way race (ARS)
2026-05-27,2026-05-24,2026-05-25,부산MBC-한길리서치(3차),centerleft,505,10.1,2026_buksu_gap_byelection,하정우,더불어민주당,36.7,3-way race (NESDC 16870)
2026-05-27,2026-05-24,2026-05-25,부산MBC-한길리서치(3차),centerleft,505,10.1,2026_buksu_gap_byelection,한동훈,무소속,38.6,3-way race (NESDC 16870)
2026-05-27,2026-05-24,2026-05-25,부산MBC-한길리서치(3차),centerleft,505,10.1,2026_buksu_gap_byelection,박민식,국민의힘,20.5,3-way race (NESDC 16870)
2026-05-28,2026-05-24,2026-05-26,동아일보-리서치앤리서치,right,504,10.6,2026_buksu_gap_byelection,하정우,더불어민주당,33.8,3-way race (NESDC 16996)
2026-05-28,2026-05-24,2026-05-26,동아일보-리서치앤리서치,right,504,10.6,2026_buksu_gap_byelection,한동훈,무소속,40.2,3-way race (NESDC 16996)
2026-05-28,2026-05-24,2026-05-26,동아일보-리서치앤리서치,right,504,10.6,2026_buksu_gap_byelection,박민식,국민의힘,17.9,3-way race (NESDC 16996)
2026-05-28,2026-05-26,2026-05-27,CBS-케이에스오아이(한국사회여론연구소),centerleft,503,6.4,2026_buksu_gap_byelection,하정우,더불어민주당,35.8,3-way race (NESDC 17012)
2026-05-28,2026-05-26,2026-05-27,CBS-케이에스오아이(한국사회여론연구소),centerleft,503,6.4,2026_buksu_gap_byelection,한동훈,무소속,40.7,3-way race (NESDC 17012)
2026-05-28,2026-05-26,2026-05-27,CBS-케이에스오아이(한국사회여론연구소),centerleft,503,6.4,2026_buksu_gap_byelection,박민식,국민의힘,17.9,3-way race (NESDC 17012)
2026-05-28,2026-05-26,2026-05-27,MBC-코리아리서치,centerleft,500,18.6,2026_buksu_gap_byelection,하정우,더불어민주당,37.0,3-way race
2026-05-28,2026-05-26,2026-05-27,MBC-코리아리서치,centerleft,500,18.6,2026_buksu_gap_byelection,한동훈,무소속,43.0,3-way race
2026-05-28,2026-05-26,2026-05-27,MBC-코리아리서치,centerleft,500,18.6,2026_buksu_gap_byelection,박민식,국민의힘,14.0,3-way race
2026-05-28,2026-05-25,2026-05-27,SBS-입소스,center,500,18.6,2026_buksu_gap_byelection,하정우,더불어민주당,35.0,3-way race (마지막 여론조사)
2026-05-28,2026-05-25,2026-05-27,SBS-입소스,center,500,18.6,2026_buksu_gap_byelection,한동훈,무소속,39.0,3-way race (마지막 여론조사)
2026-05-28,2026-05-25,2026-05-27,SBS-입소스,center,500,18.6,2026_buksu_gap_byelection,박민식,국민의힘,14.0,3-way race (마지막 여론조사)
