election,year,district,candidate,party,votes,vote_share_pct,elected
20th_NA,2016,북구·강서구을,김도읍,새누리당,54255,49.47,Y
20th_NA,2016,북구·강서구을,정진우,더불어민주당,42352,38.62,N
20th_NA,2016,북구·강서구을,정규룡,국민의당,13047,11.89,N
21st_NA,2020,북구·강서구을,김도읍,미래통합당,76054,52.03,Y
21st_NA,2020,북구·강서구을,최지은,더불어민주당,63146,43.20,N
21st_NA,2020,북구·강서구을,이의용,정의당,2725,1.86,N
21st_NA,2020,북구·강서구을,강인길,무소속,2003,1.37,N
21st_NA,2020,북구·강서구을,김원성,무소속,1520,1.03,N
21st_NA,2020,북구·강서구을,이제현,국가혁명배당금당,721,0.49,N
22nd_NA,2024,북구을,박성훈,국민의힘,44886,52.56,Y
22nd_NA,2024,북구을,정명희,더불어민주당,40499,47.43,N
