election,year,region,candidate,party,votes,vote_share_pct,elected_nationally
19th_Pres,2017,부산북구,문재인,더불어민주당,83611,41.22,Y
19th_Pres,2017,부산북구,홍준표,자유한국당,61175,30.16,N
19th_Pres,2017,부산북구,안철수,국민의당,32712,16.13,N
19th_Pres,2017,부산북구,유승민,바른정당,14567,7.18,N
19th_Pres,2017,부산북구,심상정,정의당,9862,4.86,N
20th_Pres,2022,부산북구,윤석열,국민의힘,105576,56.35,Y
20th_Pres,2022,부산북구,이재명,더불어민주당,74650,39.84,N
20th_Pres,2022,부산북구,심상정,정의당,4262,2.27,N
21st_Pres,2025,부산북구,김문수,국민의힘,93564,50.19,N
21st_Pres,2025,부산북구,이재명,더불어민주당,77258,41.44,Y
21st_Pres,2025,부산북구,이준석,개혁신당,13884,7.44,N
