poll_date,fieldwork_start,fieldwork_end,pollster,pollster_lean,sample_size,response_rate_pct,election,candidate,party,support_pct,notes
2026-04-30,2026-04-28,2026-04-29,MBC-코리아리서치(1차),centerleft,800,14.0,2026_seoul_mayor,정원오,더불어민주당,48.0,2-way race (early)
2026-04-30,2026-04-28,2026-04-29,MBC-코리아리서치(1차),centerleft,800,14.0,2026_seoul_mayor,오세훈,국민의힘,32.0,2-way race (early)
2026-05-05,2026-05-01,2026-05-03,SBS-입소스,center,800,10.7,2026_seoul_mayor,정원오,더불어민주당,41.0,2-way race
2026-05-05,2026-05-01,2026-05-03,SBS-입소스,center,800,10.7,2026_seoul_mayor,오세훈,국민의힘,34.0,2-way race
2026-05-08,2026-05-04,2026-05-05,스트레이트뉴스-조원씨앤아이,centerleft,802,9.5,2026_seoul_mayor,정원오,더불어민주당,50.2,2-way race
2026-05-08,2026-05-04,2026-05-05,스트레이트뉴스-조원씨앤아이,centerleft,802,9.5,2026_seoul_mayor,오세훈,국민의힘,38.0,2-way race
2026-05-13,2026-05-11,2026-05-12,JTBC-메타보이스,centerleft,804,14.8,2026_seoul_mayor,정원오,더불어민주당,50.0,2-way race
2026-05-13,2026-05-11,2026-05-12,JTBC-메타보이스,centerleft,804,14.8,2026_seoul_mayor,오세훈,국민의힘,34.0,2-way race
2026-05-14,2026-05-12,2026-05-13,CBS-한국사회여론연구소,centerleft,1002,9.4,2026_seoul_mayor,정원오,더불어민주당,44.9,2-way race
2026-05-14,2026-05-12,2026-05-13,CBS-한국사회여론연구소,centerleft,1002,9.4,2026_seoul_mayor,오세훈,국민의힘,39.8,2-way race
2026-05-15,2026-05-09,2026-05-10,뉴스1-한국갤럽,center,802,11.0,2026_seoul_mayor,정원오,더불어민주당,46.0,2-way race
2026-05-15,2026-05-09,2026-05-10,뉴스1-한국갤럽,center,802,11.0,2026_seoul_mayor,오세훈,국민의힘,38.0,2-way race
2026-05-15,2026-05-11,2026-05-14,KBS-한국리서치,centerleft,800,21.5,2026_seoul_mayor,정원오,더불어민주당,43.0,2-way race
2026-05-15,2026-05-11,2026-05-14,KBS-한국리서치,centerleft,800,21.5,2026_seoul_mayor,오세훈,국민의힘,32.0,2-way race
2026-05-18,2026-05-16,2026-05-17,MBC-코리아리서치(2차),centerleft,800,13.8,2026_seoul_mayor,정원오,더불어민주당,43.0,2-way race
2026-05-18,2026-05-16,2026-05-17,MBC-코리아리서치(2차),centerleft,800,13.8,2026_seoul_mayor,오세훈,국민의힘,35.0,2-way race
2026-05-19,2026-05-16,2026-05-17,조선일보-메트릭스,right,800,12.4,2026_seoul_mayor,정원오,더불어민주당,40.0,2-way race
2026-05-19,2026-05-16,2026-05-17,조선일보-메트릭스,right,800,12.4,2026_seoul_mayor,오세훈,국민의힘,37.0,2-way race
2026-05-20,2026-05-17,2026-05-19,채널A-리서치앤리서치,right,802,10.5,2026_seoul_mayor,정원오,더불어민주당,43.9,2-way race
2026-05-20,2026-05-17,2026-05-19,채널A-리서치앤리서치,right,802,10.5,2026_seoul_mayor,오세훈,국민의힘,35.7,2-way race
2026-05-04,2026-05-01,2026-05-02,폴리뉴스-에브리리서치,center,1000,4.2,2026_seoul_mayor,정원오,더불어민주당,53.0,2-way race (ARS)
2026-05-04,2026-05-01,2026-05-02,폴리뉴스-에브리리서치,center,1000,4.2,2026_seoul_mayor,오세훈,국민의힘,40.0,2-way race (ARS)
2026-05-12,2026-05-10,2026-05-11,펜앤마이크-여론조사공정,right,802,3.8,2026_seoul_mayor,정원오,더불어민주당,44.7,2-way race (ARS)
2026-05-12,2026-05-10,2026-05-11,펜앤마이크-여론조사공정,right,802,3.8,2026_seoul_mayor,오세훈,국민의힘,42.6,2-way race (ARS)
